Suburb,Rank,lat,lon
Darlington,450,-33.891552,151.1959049
Woolloomooloo,398,-33.8692762,151.2199391
Ultimo,407,-33.8797797,151.1968634
Chippendale,337,-33.887109,151.1991256
Surry Hills,409,-33.8845685,151.2102142
The Rocks,331,-33.859992,151.2083216
Beaconsfield,317,-33.9113889,151.2002778
Bronte,469,-33.9038889,151.2638889
Bondi Beach Bondi,463,-33.8923688,151.275301442938
Waverly,437,-31.87517,151.03285
Bellevue Hill,497,-33.82971,148.6948992
Dover Heights,488,-33.8730556,151.2811111
Moore Park,484,-33.8958333,151.2219444
Watsons Bay,508,-33.8404822,151.2803492
Woollahra,491,-33.8855556,151.2413889
Clovelly,457,-33.9117376,151.2520965
Kingsford,404,-33.9248577,151.2271585
Chifley,332,-33.9694444,151.2397222
Maroubra,387,-33.9455728,151.2546707
Randwick,455,-33.914121,151.2410046
Bankstown,35,-33.9171897,151.0335881
Georges Hall,128,-33.9066667,150.9844444
Condell Park,176,-33.9227852,151.0113144
Mount Lewis,86,-33.915,151.0511111
Padstow,327,-33.9566664,151.0261067
Picnic Point,374,-33.973328,151.0011126
Revesby,273,-33.9491713,151.011659
Birrong,74,-33.89,151.0261111
Belfield,140,-33.9031359,151.0834753
Canterbury (South) - Campsie,105,-33.9172908,151.1067241
Wiley Park,19,-33.9230556,151.0677778
Punchbowl,26,-33.9233333,151.0594444
Roselands,255,-33.9346194,151.069039429278
Hurstville,254,-33.965,151.1094444
Penshurst,364,-33.965,151.0927778
Beverly Hills,258,-33.9508725,151.0815755
Hurstville Grove,448,-33.9816667,151.0927778
Lugarno,400,-33.9760073,151.0482103
Riverwood,24,-33.9472222,151.0530556
Blakehurst,399,-33.9892723,151.1123342
Bardwell Valley,277,-33.9369444,151.1330556
Bexley,290,-33.9566667,151.1261111
Kogarah,315,-33.965,151.1344444
Allawah,343,-30.7040523,147.4173276
Brighton-le-Sands - Kyeemagh,297,-33.9498619,151.15437391058
Banksia,259,-33.9448646,151.1402066
Ramsgate,354,-33.9838515,151.1410091
Cabarita,447,-33.8452778,151.1161111
Concord West Strathfield,442,-33.8661929,151.0937332
Rodd Point,466,-33.8659696,151.1465564
Abbotsford,426,-33.8488313,151.1293312
Balmain,481,-33.8569426,151.1767888
Annandale,459,-33.881224,151.1709976
Rozelle,472,-33.8632185,151.1716479
Ashfield,314,-33.8878817,151.1236642
Croydon,342,-33.8777935,151.1156502
Enfield,340,-33.89,151.0927778
Lewisham,378,-33.8949937,151.1463873
Summer Hill,420,-33.8904275,151.1352005
Homebush,334,-33.8602778,151.0805556
Strathfield,415,-33.8758345,151.089495
Greenwich,511,-33.8294444,151.1861111
Naremburn,492,-33.8172222,151.2019444
Mount Colah,465,-33.6688487,151.114737
Cowan,470,-33.5888297,151.1698568
Waitara,403,-33.7094453,151.1055581
Killara,510,-33.765052,151.15112
Roseville,517,-33.7825,151.1847222
Pymble,518,-33.7450185,151.1424708
St Ives,521,-33.7316667,151.1594444
Turramurra,513,-33.731669,151.1344487
Warrawee,519,-33.7233385,151.1261146
Cammeray,501,-33.8270337,151.2123639
Waverton,493,-33.8412095,151.1956248
Mosman,506,-33.8358812,151.2348696
Kirribilli,478,-33.8494302,151.2177268
Lavender Bay,496,-33.8437686,151.2074981
Seaforth,507,-33.7907118,151.2431021
Fairlight,477,-33.7938789,151.2741471
Palm Beach,485,-33.6005473,151.3231536
Elanora Heights,489,-33.6955182,151.2803047
Bilgola,494,-33.6438092,151.315858
Mona Vale,462,-33.6769931,151.3029577
Narraweena,416,-33.7487086,151.2685767
Cromer,458,-33.7385227,151.2762995
Killarney Heights,486,-33.7724994,151.2155624
Belrose,505,-33.730009,151.2191438
Brookvale,460,-33.7658063,151.2692633
Allambie Heights,449,-33.7609504,151.2492395
Collaroy,445,-33.7382194,151.2996618
Duffys Forest,490,-33.6733265,151.1927796
Ellis Lane,401,-34.0321101,150.6768743
Harrington Park,425,-34.0319241,150.7311465
Currans Hill,417,-34.0465223,150.7661322
Wedderburn,50,-34.1483333,150.8177778
Woodbine,204,-34.0468369,150.8242711
Raby,111,-34.0233333,150.8177778
Denham Court,253,-33.9813889,150.8294444
Minto Heights,217,-34.0347222,150.8741667
Glenfield,77,-33.965,150.8927778
St Andrews,154,-34.0208333,150.8305556
Glen Alpine,196,-34.09,150.7844444
Bargo,306,-34.293747,150.5817842
Appin,414,-34.2029671,150.7872441
Buxton,299,-34.2549293,150.5344846
Oakdale,390,-34.0793269,150.5062661
Megalong Valley,257,-33.7291119,150.2509481
Lapstone,444,-33.7743436,150.641574
Blue Mountains,349,-34.0908358,150.172815379382
Leura,220,-33.7156888,150.3317665
Linden,346,-33.7182843,150.5050533
Winmalee,412,-33.6856036,150.5868226
Wentworth Falls,329,-33.7156389,150.3697595
Cambridge Park,241,-33.7483333,150.7344444
Cranebrook,278,-33.7150012,150.70111
Leonay,382,-33.7650058,150.6511051
Regentville,436,-33.7708351,150.6616622
Jamisontown Penrith,285,-33.7679751,150.6747143
Werrington,144,-33.758666,150.7579617
Orchard Hills,391,-33.7816667,150.7177778
Penrith,78,-33.7511092,150.6941607
Silverdale,369,-32.0695881,148.027728
Clarendon,239,-33.6105511,150.7888909
Bligh Park,208,-33.6383333,150.7980556
Londonderry,326,-33.6483333,150.7344444
Erskine Park,383,-33.8086111,150.8013889
St Clair,320,-33.7983333,150.7844444
Colyton,41,-33.7822222,150.7958333
Auburn,31,-33.849302,151.0328106
Silverwater,471,-33.1003231,151.5595707
Regents Park,175,-33.8820048,151.02569
Carlingford,451,-33.7783388,151.0506046
Rydalmere,316,-33.8139273,151.0356656
Dundas Valley,367,-33.7916821,151.0575696
Sefton,57,-33.89,151.0094444
Fairfield,9,-33.8649983,150.9511109
Clyde,81,-33.8359746,151.017066
Pemulwuy,371,-33.8164641,150.9284441
Guildford Granville,20,-33.8624161,151.0061257
Merrylands West,99,-33.84,150.9677778
Holroyd,143,-33.8297155,150.9974898
North Parramatta,302,-33.7952747,151.0116649
North Rocks,480,-33.7713052,151.020996
Northmead,372,-33.7844423,150.9983289
Rosehill,240,-33.8263889,151.0305556
Constitution Hill,330,-33.791376,150.977206
Winston Hills,452,-33.7761098,150.9816606
Epping Epping,475,-33.7729393,151.082162
Cheltenham,502,-33.7569444,151.0775
Denistone,427,-33.7986111,151.0886111
Huntleys Point,446,-33.8397222,151.1441667
Woolwich,498,-33.8401988,151.1710614
Marsfield,402,-33.765,151.1011111
North Ryde Ryde,441,-33.7944582,151.1379017
Putney,413,-33.826067,151.1064224
Meadowbank,397,-33.8159781,151.0904921
Miller,1,-33.9205556,150.8805556
Greendale,286,-36.59,149.8427778
Leppington,321,-33.9650028,150.8011028
Cecil Hills,282,-33.89,150.8511111
Horningsea Park,396,-33.9438496,150.8435435
Bonnyrigg,64,-33.89,150.8844444
Abbotsbury,292,-33.8697994,150.8659307
Lansvale,4,-33.9003985,150.9510782
Mount Pritchard,15,-33.8983333,150.9011111
Canley Heights,7,-33.8816667,150.9261111
Edensor Park,242,-33.8733333,150.8761111
Fairfield,29,-33.8649983,150.9511109
Prairiewood,168,-33.8652778,150.9038889
Kemps Creek,370,-33.8693995,150.7931035
Wetherill Park,83,-33.8483333,150.9011111
Wakeley,138,-33.8736111,150.9086111
Casula,288,-33.9522222,150.8952778
Moorebank,373,-33.9332633,150.949686
Wattle Grove,435,-33.9551544,150.9449921
Warwick Farm,11,-33.915,150.9344444
Lurnea,206,-33.9358333,150.8972222
Lilli Pilli,438,-34.0671454,151.114686776526
Bundeena,428,-34.084575,151.1512101
Grays Point,464,-34.0591451,151.0786995
Yowie Bay,384,-34.0502778,151.1033333
Taren Point,423,-34.0128522,151.1268438
Loftus,456,-34.0434357,151.0504559
Waterfall,418,-33.650195,150.353819
Alfords Point,503,-33.9931002,151.0246299
Woronora,473,-34.0301929,151.0419778
Jannali,468,-34.0163159,151.0658096
Kirrawee,381,-34.0345026,151.0712505

