Suburb,Children,Yadult,Oadult,Old
Cleve,363,407,718,263
Coober Pedy,274,528,770,215
Copper Coast,2311,3253,5794,2329
Elliston,200,293,497,78
Flinders Ranges,284,410,723,232
Franklin Harbour,250,325,596,126
Gawler,3812,6668,8183,2927
Goyder,775,932,1865,667
Grant,1583,2047,3650,732
Holdfast Bay,4569,11101,15162,5931
Kangaroo Island,814,1038,2138,563
Karoonda East Murray,182,224,461,149
Kimba,199,313,430,161
Kingston,356,600,1090,361
Light,3200,4305,5908,1046
Lower Eyre Peninsula,1065,1320,2155,457
Loxton Waikerie,2081,3001,4820,1552
Mallala,1769,2449,3793,600
Maralinga Tjarutja,10,25,32,8
Marion,14183,30389,32455,10547
Mid Murray,1203,1829,4070,1179
Mitcham,11370,20228,25720,8402
Mount Barker,6666,9650,12461,2548
Mount Gambier,5288,8430,9422,2952
Mount Remarkable,450,566,1335,434
Murray Bridge,3887,6402,7790,2500
Naracoorte and Lucindale,1588,2553,3324,976
Northern Areas,808,1138,1899,663
Norwood Payneham St Peters,5195,13722,12997,4954
Onkaparinga,31808,53820,64815,15992
Orroroo/Carrieton,143,175,393,149
Peterborough,294,352,820,319
Playford,19423,31282,27485,6879
Port Adelaide Enfield,20768,44372,42558,12729
Port Augusta,2859,4693,5613,1440
Port Lincoln,2915,4701,5402,1714
Port Pirie City and Dists,3402,4966,6873,2384
Prospect,3476,8166,7586,1905
Renmark Paringa,1697,2731,3768,1150
Robe,204,400,590,193
Roxby Downs,1000,2518,1490,23
Salisbury,26310,50059,47927,11626
Southern Mallee,402,593,814,267
Streaky Bay,454,552,965,274
Tatiara,1397,1894,2630,774
Tea Tree Gully,17310,31368,39491,10209
The Coorong,1052,1409,2380,745
Tumby Bay,488,587,1149,482
Unley,6195,13401,14692,4407
Victor Harbor,1849,2802,6209,3779
Wakefield,1403,1781,2743,899
Walkerville,1174,2052,3001,1141
Wattle Range,2207,3021,5014,1427
West Torrens,8641,22445,19350,7722
Whyalla,4356,7325,8452,2429
Wudinna,334,323,481,145
Yankalilla,650,869,2259,778
Yorke Peninsula,1690,2148,5082,2199
Unincorporated SA,700,1529,2008,227
No usual address,0,0,0,0
Albany,7067,10541,13966,4688
Armadale,15835,27609,25051,5230
Ashburton,1609,5145,4145,60
Augusta-Margaret River,2726,4015,5285,1142
Bassendean,2723,5780,5841,1579
Bayswater,10910,27518,24252,6813
Belmont,6430,16984,12827,3842
Beverley,291,262,773,240
Boddington,381,939,1020,131
Boyup Brook,341,444,730,223
Bridgetown-Greenbushes,912,1003,2072,526
Brookton,186,237,404,165
Broome,4073,6794,5885,499
Broomehill-Tambellup,353,305,411,98
Bruce Rock,223,262,394,117
Bunbury,5795,11627,12626,3575
Busselton,7241,9856,13325,3868
Cambridge,5740,8565,10623,3069
Canning,16065,40304,32696,7291
Capel,4411,5215,6049,772
Carnamah,102,143,261,44
Carnarvon,1304,1913,2421,501
Chapman Valley,248,317,557,92
Chittering,1031,1297,2252,416
Claremont,1574,3518,3752,1515
Cockburn,20782,39797,35743,7029
Collie,1820,2988,4042,842
Coolgardie,1036,1707,1430,151
Coorow,170,264,496,155
Corrigin,201,231,488,179
Cottesloe,1417,2888,3413,854
Cranbrook,232,319,443,107
Cuballing,189,199,412,78
Cue,39,88,148,23
Cunderdin,255,411,483,153
Dalwallinu,246,413,499,137
Dandaragan,597,826,1489,413
Dardanup,3047,4622,4919,1203
Denmark,1086,1331,2583,748
Derby-West Kimberley,2141,4786,2852,268
Donnybrook-Balingup,1120,1334,2686,613
Dowerin,156,174,239,103
Dumbleyung,120,158,245,85
Dundas,207,418,489,68
East Fremantle,1383,2210,3346,797
East Pilbara,1867,6445,4518,130
Esperance,3092,4377,5365,1408
Exmouth,517,837,1040,176
Fremantle,4495,10498,11904,3424
Gingin,1009,1220,2424,595
Gnowangerup,354,345,531,73
Goomalling,253,229,385,109
Gosnells,25278,47259,40618,8097
Greater Geraldton,8882,13449,14741,3376
Halls Creek,1011,1689,1117,123
Harvey,5774,8494,9788,1868
Irwin,760,864,1640,516
Jerramungup,199,341,478,67
Joondalup,31241,55623,68581,12178
Kalamunda,11650,19871,22575,5620
Kalgoorlie/Boulder,7582,14163,10851,1167
Katanning,1035,1289,1654,429
Kellerberrin,265,290,486,186
Kent,120,197,179,32
Kojonup,445,525,793,259
Kondinin,161,344,435,102
Koorda,107,81,179,64
Kulin,188,184,378,84
Kwinana,7744,13949,10587,2133
Lake Grace,279,342,634,115
Laverton,152,589,580,36
Leonora,363,1416,935,50
Mandurah,15107,23624,30641,11311
Manjimup,1993,2369,4022,1043
Meekatharra,233,626,619,43
Melville,17377,35728,40979,12251
Menzies,82,133,190,17
Merredin,673,1107,1205,315
Mingenew,92,147,208,39
Moora,562,790,951,232
Morawa,184,275,358,89
Mosman Park,1621,3372,3529,986
Mount Magnet,129,251,293,38
Mount Marshall,87,149,190,45
Mukinbudin,85,112,244,50
Mundaring,7249,11832,17140,3575
Murchison,18,42,49,18
Murray,3231,4435,6575,2063
Nannup,218,248,701,149
Narembeen,142,205,345,118
Narrogin,158,305,361,60
Narrogin,1020,1463,1487,460
Nedlands,4348,6920,9151,2499
Ngaanyatjarraku,382,719,440,43
Northam,2408,3749,4444,1129
Northampton,630,727,1570,452
Nungarin,41,41,106,40
Peppermint Grove,300,499,682,200
Perenjori,123,364,398,39
Perth,1053,12369,5851,1012
Pingelly,247,268,506,174
Plantagenet,921,1374,2299,588
Port Hedland,3291,7666,5253,262
Quairading,206,222,471,195
Ravensthorpe,488,660,946,194
Rockingham,26798,43432,41390,9239
Roebourne,4943,11796,8930,238
Sandstone,11,37,60,8
Serpentine-Jarrahdale,5001,7189,7831,1141
Shark Bay,156,261,416,95
South Perth,6450,19456,16114,4093
Stirling,36878,89310,74475,22654
Subiaco,2773,8696,6614,1610
Swan,27101,45913,44196,7572
Tammin,127,87,158,29
Three Springs,140,185,259,48
Toodyay,768,1056,2386,476
Trayning,59,79,156,48
Upper Gascoyne,85,80,82,15
Victoria Park,4954,18029,11099,3600
Victoria Plains,185,287,379,70
Vincent,4919,17683,11374,2716
Wagin,388,470,826,291
Wandering,91,93,204,50
Wanneroo,42150,68201,57588,10499
Waroona,763,1063,1551,466
West Arthur,196,206,381,104
Westonia,43,81,121,27
Wickepin,172,164,348,66
Williams,186,286,371,85
Wiluna,118,655,482,24
Wongan-Ballidu,399,441,599,147
Woodanilling,113,121,167,28
Wyalkatchem,98,115,226,80
Wyndham-East Kimberley,1987,3603,2848,214
Yalgoo,48,217,161,19
Yilgarn,294,603,690,111
York,614,833,1646,488
