Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Inner Sydney,Marrickville,Abduction and kidnapping,,101
Inner Sydney,Marrickville,Robbery,Robbery without a weapon,3111
Inner Sydney,Marrickville,Robbery,Robbery with a firearm,488
Inner Sydney,Marrickville,Robbery,Robbery with a weapon not a firearm,1777
Inner Sydney,Marrickville,Blackmail and extortion,,46
Inner Sydney,Marrickville,"Harassment, threatening behaviour and private nuisance",,4982
Inner Sydney,Marrickville,Other offences against the person,,337
Inner Sydney,Marrickville,Theft,Break and enter dwelling,22162
Inner Sydney,Marrickville,Theft,Break and enter non-dwelling,7949
Inner Sydney,Marrickville,Theft,Receiving or handling stolen goods,3284
Inner Sydney,Marrickville,Theft,Motor vehicle theft,17308
Inner Sydney,Marrickville,Theft,Steal from motor vehicle,27396
Inner Sydney,Marrickville,Theft,Steal from retail store,5211
Inner Sydney,Marrickville,Theft,Steal from dwelling,7621
Inner Sydney,Marrickville,Theft,Steal from person,4123
Inner Sydney,Marrickville,Theft,Stock theft,19
Inner Sydney,Marrickville,Theft,Fraud,11543
Inner Sydney,Marrickville,Theft,Other theft,12106
Inner Sydney,Marrickville,Arson,,1304
Inner Sydney,Marrickville,Malicious damage to property,,23903
Inner Sydney,Marrickville,Drug offences,Possession and/or use of cocaine,153
Inner Sydney,Marrickville,Drug offences,Possession and/or use of narcotics,1030
Inner Sydney,Marrickville,Drug offences,Possession and/or use of cannabis,4479
Inner Sydney,Marrickville,Drug offences,Possession and/or use of amphetamines,616
Inner Sydney,Marrickville,Drug offences,Possession and/or use of ecstasy,201
Inner Sydney,Marrickville,Drug offences,Possession and/or use of other drugs,603
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in cocaine",54
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in narcotics",268
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in cannabis",159
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in amphetamines",147
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in ecstasy",51
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in other drugs",29
Inner Sydney,Marrickville,Drug offences,Cultivating cannabis,172
Inner Sydney,Marrickville,Drug offences,Manufacture drug,16
Inner Sydney,Marrickville,Drug offences,Importing drugs,6
Inner Sydney,Marrickville,Drug offences,Other drug offences,953
Inner Sydney,Marrickville,Prohibited and regulated weapons offences,,2241
Inner Sydney,Marrickville,Disorderly conduct,Trespass,1780
Inner Sydney,Marrickville,Disorderly conduct,Offensive conduct,686
Inner Sydney,Marrickville,Disorderly conduct,Offensive language,707
Inner Sydney,Marrickville,Disorderly conduct,Criminal intent,995
Inner Sydney,Marrickville,Betting and gaming offences,,38
Inner Sydney,Marrickville,Liquor offences,,1747
Inner Sydney,Marrickville,Pornography offences,,37
Inner Sydney,Marrickville,Prostitution offences,,7
Inner Sydney,Marrickville,Against justice procedures,Escape custody,56
Inner Sydney,Marrickville,Against justice procedures,Breach Apprehended Violence Order,2637
Inner Sydney,Marrickville,Against justice procedures,Breach bail conditions,9763
Inner Sydney,Marrickville,Against justice procedures,Fail to appear,453
Inner Sydney,Marrickville,Against justice procedures,Resist or hinder officer,1209
Inner Sydney,Marrickville,Against justice procedures,Other offences against justice procedures,355
Inner Sydney,Marrickville,Transport regulatory offences,,14335
Inner Sydney,Marrickville,Other offences,,3013
Inner Sydney,Sydney,Homicide,Murder (a),163
Inner Sydney,Sydney,Homicide,Attempted murder,118
Inner Sydney,Sydney,Homicide,"Murder accessory, conspiracy",8
Inner Sydney,Sydney,Homicide,Manslaughter (a),44
Inner Sydney,Sydney,Assault,Domestic violence related assault,16589
Inner Sydney,Sydney,Assault,Non-domestic violence related assault,87885
Inner Sydney,Sydney,Assault,Assault Police,6337
Inner Sydney,Sydney,Sexual offences,Sexual assault,4067
Inner Sydney,Sydney,Sexual offences,"Indecent assault, act of indecency and other sexual offences",5991
Inner Sydney,Sydney,Abduction and kidnapping,,549
Inner Sydney,Sydney,Robbery,Robbery without a weapon,23310
Inner Sydney,Sydney,Robbery,Robbery with a firearm,1350
Inner Sydney,Sydney,Robbery,Robbery with a weapon not a firearm,10053
Inner Sydney,Sydney,Blackmail and extortion,,239
Inner Sydney,Sydney,"Harassment, threatening behaviour and private nuisance",,19186
Inner Sydney,Sydney,Other offences against the person,,1535
Inner Sydney,Sydney,Theft,Break and enter dwelling,46527
Inner Sydney,Sydney,Theft,Break and enter non-dwelling,45407
Inner Sydney,Sydney,Theft,Receiving or handling stolen goods,26205
Inner Sydney,Sydney,Theft,Motor vehicle theft,39311
Inner Sydney,Sydney,Theft,Steal from motor vehicle,146134
Inner Sydney,Sydney,Theft,Steal from retail store,44397
Inner Sydney,Sydney,Theft,Steal from dwelling,24096
Inner Sydney,Sydney,Theft,Steal from person,89797
Inner Sydney,Sydney,Theft,Stock theft,57
Inner Sydney,Sydney,Theft,Fraud,91398
Inner Sydney,Sydney,Theft,Other theft,174635
Inner Sydney,Sydney,Arson,,1904
Inner Sydney,Sydney,Malicious damage to property,,89387
Inner Sydney,Sydney,Drug offences,Possession and/or use of cocaine,4281
Inner Sydney,Sydney,Drug offences,Possession and/or use of narcotics,5313
Inner Sydney,Sydney,Drug offences,Possession and/or use of cannabis,36959
Inner Sydney,Sydney,Drug offences,Possession and/or use of amphetamines,8392
Inner Sydney,Sydney,Drug offences,Possession and/or use of ecstasy,9010
Inner Sydney,Sydney,Drug offences,Possession and/or use of other drugs,8486
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in cocaine",1410
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in narcotics",2259
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in cannabis",1678
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in amphetamines",1805
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in ecstasy",1799
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in other drugs",866
Inner Sydney,Sydney,Drug offences,Cultivating cannabis,248
Inner Sydney,Sydney,Drug offences,Manufacture drug,68
Inner Sydney,Sydney,Drug offences,Importing drugs,103
Inner Sydney,Sydney,Drug offences,Other drug offences,9207
Inner Sydney,Sydney,Prohibited and regulated weapons offences,,13359
Inner Sydney,Sydney,Disorderly conduct,Trespass,8166
Inner Sydney,Sydney,Disorderly conduct,Offensive conduct,21436
Inner Sydney,Sydney,Disorderly conduct,Offensive language,9240
Inner Sydney,Sydney,Disorderly conduct,Criminal intent,5259
Inner Sydney,Sydney,Betting and gaming offences,,907
Inner Sydney,Sydney,Liquor offences,,45951
Inner Sydney,Sydney,Pornography offences,,230
Inner Sydney,Sydney,Prostitution offences,,2424
Inner Sydney,Sydney,Against justice procedures,Escape custody,515
Inner Sydney,Sydney,Against justice procedures,Breach Apprehended Violence Order,7472
