Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Illawarra,Shoalhaven,Liquor offences,,4939
Illawarra,Shoalhaven,Pornography offences,,54
Illawarra,Shoalhaven,Prostitution offences,,6
Illawarra,Shoalhaven,Against justice procedures,Escape custody,68
Illawarra,Shoalhaven,Against justice procedures,Breach Apprehended Violence Order,6779
Illawarra,Shoalhaven,Against justice procedures,Breach bail conditions,3255
Illawarra,Shoalhaven,Against justice procedures,Fail to appear,172
Illawarra,Shoalhaven,Against justice procedures,Resist or hinder officer,2428
Illawarra,Shoalhaven,Against justice procedures,Other offences against justice procedures,346
Illawarra,Shoalhaven,Transport regulatory offences,,652
Illawarra,Shoalhaven,Other offences,,5272
Illawarra,Wingecarribee,Homicide,Murder (a),11
Illawarra,Wingecarribee,Homicide,Attempted murder,3
Illawarra,Wingecarribee,Homicide,"Murder accessory, conspiracy",0
Illawarra,Wingecarribee,Homicide,Manslaughter (a),0
Illawarra,Wingecarribee,Assault,Domestic violence related assault,2367
Illawarra,Wingecarribee,Assault,Non-domestic violence related assault,3962
Illawarra,Wingecarribee,Assault,Assault Police,239
Illawarra,Wingecarribee,Sexual offences,Sexual assault,542
Illawarra,Wingecarribee,Sexual offences,"Indecent assault, act of indecency and other sexual offences",656
Illawarra,Wingecarribee,Abduction and kidnapping,,21
Illawarra,Wingecarribee,Robbery,Robbery without a weapon,142
Illawarra,Wingecarribee,Robbery,Robbery with a firearm,22
Illawarra,Wingecarribee,Robbery,Robbery with a weapon not a firearm,53
Illawarra,Wingecarribee,Blackmail and extortion,,0
Illawarra,Wingecarribee,"Harassment, threatening behaviour and private nuisance",,2263
Illawarra,Wingecarribee,Other offences against the person,,154
Illawarra,Wingecarribee,Theft,Break and enter dwelling,4484
Illawarra,Wingecarribee,Theft,Break and enter non-dwelling,4546
Illawarra,Wingecarribee,Theft,Receiving or handling stolen goods,513
Illawarra,Wingecarribee,Theft,Motor vehicle theft,2293
Illawarra,Wingecarribee,Theft,Steal from motor vehicle,4265
Illawarra,Wingecarribee,Theft,Steal from retail store,1570
Illawarra,Wingecarribee,Theft,Steal from dwelling,3614
Illawarra,Wingecarribee,Theft,Steal from person,356
Illawarra,Wingecarribee,Theft,Stock theft,143
Illawarra,Wingecarribee,Theft,Fraud,2882
Illawarra,Wingecarribee,Theft,Other theft,4352
Illawarra,Wingecarribee,Arson,,965
Illawarra,Wingecarribee,Malicious damage to property,,14811
Illawarra,Wingecarribee,Drug offences,Possession and/or use of cocaine,12
Illawarra,Wingecarribee,Drug offences,Possession and/or use of narcotics,21
Illawarra,Wingecarribee,Drug offences,Possession and/or use of cannabis,1437
Illawarra,Wingecarribee,Drug offences,Possession and/or use of amphetamines,194
Illawarra,Wingecarribee,Drug offences,Possession and/or use of ecstasy,50
Illawarra,Wingecarribee,Drug offences,Possession and/or use of other drugs,106
Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in cocaine",5
Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in narcotics",3
Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in cannabis",119
Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in amphetamines",62
Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in ecstasy",15
Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in other drugs",11
Illawarra,Wingecarribee,Drug offences,Cultivating cannabis,244
Illawarra,Wingecarribee,Drug offences,Manufacture drug,6
Illawarra,Wingecarribee,Drug offences,Importing drugs,0
Illawarra,Wingecarribee,Drug offences,Other drug offences,394
Illawarra,Wingecarribee,Prohibited and regulated weapons offences,,947
Illawarra,Wingecarribee,Disorderly conduct,Trespass,1066
Illawarra,Wingecarribee,Disorderly conduct,Offensive conduct,702
Illawarra,Wingecarribee,Disorderly conduct,Offensive language,724
Illawarra,Wingecarribee,Disorderly conduct,Criminal intent,175
Illawarra,Wingecarribee,Betting and gaming offences,,6
Illawarra,Wingecarribee,Liquor offences,,994
Illawarra,Wingecarribee,Pornography offences,,23
Illawarra,Wingecarribee,Prostitution offences,,3
Illawarra,Wingecarribee,Against justice procedures,Escape custody,23
Illawarra,Wingecarribee,Against justice procedures,Breach Apprehended Violence Order,1332
Illawarra,Wingecarribee,Against justice procedures,Breach bail conditions,1189
Illawarra,Wingecarribee,Against justice procedures,Fail to appear,75
Illawarra,Wingecarribee,Against justice procedures,Resist or hinder officer,814
Illawarra,Wingecarribee,Against justice procedures,Other offences against justice procedures,134
Illawarra,Wingecarribee,Transport regulatory offences,,1449
Illawarra,Wingecarribee,Other offences,,1176
Illawarra,Wollongong,Homicide,Murder (a),55
Illawarra,Wollongong,Homicide,Attempted murder,32
Illawarra,Wollongong,Homicide,"Murder accessory, conspiracy",0
Illawarra,Wollongong,Homicide,Manslaughter (a),4
Illawarra,Wollongong,Assault,Domestic violence related assault,14502
Illawarra,Wollongong,Assault,Non-domestic violence related assault,26455
Illawarra,Wollongong,Assault,Assault Police,1541
Illawarra,Wollongong,Sexual offences,Sexual assault,2727
Illawarra,Wollongong,Sexual offences,"Indecent assault, act of indecency and other sexual offences",3075
Illawarra,Wollongong,Abduction and kidnapping,,249
Illawarra,Wollongong,Robbery,Robbery without a weapon,2189
Illawarra,Wollongong,Robbery,Robbery with a firearm,205
Illawarra,Wollongong,Robbery,Robbery with a weapon not a firearm,1212
Illawarra,Wollongong,Blackmail and extortion,,25
Illawarra,Wollongong,"Harassment, threatening behaviour and private nuisance",,13905
Illawarra,Wollongong,Other offences against the person,,866
Illawarra,Wollongong,Theft,Break and enter dwelling,44884
Illawarra,Wollongong,Theft,Break and enter non-dwelling,25868
Illawarra,Wollongong,Theft,Receiving or handling stolen goods,6151
Illawarra,Wollongong,Theft,Motor vehicle theft,29019
Illawarra,Wollongong,Theft,Steal from motor vehicle,41199
Illawarra,Wollongong,Theft,Steal from retail store,16739
Illawarra,Wollongong,Theft,Steal from dwelling,18948
Illawarra,Wollongong,Theft,Steal from person,6045
Illawarra,Wollongong,Theft,Stock theft,136
Illawarra,Wollongong,Theft,Fraud,15772
Illawarra,Wollongong,Theft,Other theft,31317
Illawarra,Wollongong,Arson,,4547
Illawarra,Wollongong,Malicious damage to property,,71212
Illawarra,Wollongong,Drug offences,Possession and/or use of cocaine,64
Illawarra,Wollongong,Drug offences,Possession and/or use of narcotics,715
Illawarra,Wollongong,Drug offences,Possession and/or use of cannabis,6974
Illawarra,Wollongong,Drug offences,Possession and/or use of amphetamines,2080
Illawarra,Wollongong,Drug offences,Possession and/or use of ecstasy,347
Illawarra,Wollongong,Drug offences,Possession and/or use of other drugs,596
Illawarra,Wollongong,Drug offences,"Dealing, trafficking in cocaine",30
Illawarra,Wollongong,Drug offences,"Dealing, trafficking in narcotics",598
Illawarra,Wollongong,Drug offences,"Dealing, trafficking in cannabis",553
Illawarra,Wollongong,Drug offences,"Dealing, trafficking in amphetamines",794
Illawarra,Wollongong,Drug offences,"Dealing, trafficking in ecstasy",225
Illawarra,Wollongong,Drug offences,"Dealing, trafficking in other drugs",86
Illawarra,Wollongong,Drug offences,Cultivating cannabis,987
Illawarra,Wollongong,Drug offences,Manufacture drug,30
Illawarra,Wollongong,Drug offences,Importing drugs,3
Illawarra,Wollongong,Drug offences,Other drug offences,1440
Illawarra,Wollongong,Prohibited and regulated weapons offences,,5504
Illawarra,Wollongong,Disorderly conduct,Trespass,4077
Illawarra,Wollongong,Disorderly conduct,Offensive conduct,3779
Illawarra,Wollongong,Disorderly conduct,Offensive language,2959
Illawarra,Wollongong,Disorderly conduct,Criminal intent,1089
Illawarra,Wollongong,Betting and gaming offences,,114
Illawarra,Wollongong,Liquor offences,,8171
Illawarra,Wollongong,Pornography offences,,102
Illawarra,Wollongong,Prostitution offences,,63
Illawarra,Wollongong,Against justice procedures,Escape custody,121
Illawarra,Wollongong,Against justice procedures,Breach Apprehended Violence Order,8595
Illawarra,Wollongong,Against justice procedures,Breach bail conditions,15485
Illawarra,Wollongong,Against justice procedures,Fail to appear,926
Illawarra,Wollongong,Against justice procedures,Resist or hinder officer,4693
Illawarra,Wollongong,Against justice procedures,Other offences against justice procedures,826
Illawarra,Wollongong,Transport regulatory offences,,46404
Illawarra,Wollongong,Other offences,,9926
Richmond-Tweed,Ballina,Homicide,Murder (a),11
Richmond-Tweed,Ballina,Homicide,Attempted murder,6
Richmond-Tweed,Ballina,Homicide,"Murder accessory, conspiracy",2
Richmond-Tweed,Ballina,Homicide,Manslaughter (a),0
Richmond-Tweed,Ballina,Assault,Domestic violence related assault,3076
Richmond-Tweed,Ballina,Assault,Non-domestic violence related assault,4666
Richmond-Tweed,Ballina,Assault,Assault Police,266
Richmond-Tweed,Ballina,Sexual offences,Sexual assault,553
Richmond-Tweed,Ballina,Sexual offences,"Indecent assault, act of indecency and other sexual offences",826
Richmond-Tweed,Ballina,Abduction and kidnapping,,31
Richmond-Tweed,Ballina,Robbery,Robbery without a weapon,198
Richmond-Tweed,Ballina,Robbery,Robbery with a firearm,10
Richmond-Tweed,Ballina,Robbery,Robbery with a weapon not a firearm,78
Richmond-Tweed,Ballina,Blackmail and extortion,,1
Richmond-Tweed,Ballina,"Harassment, threatening behaviour and private nuisance",,2351
Richmond-Tweed,Ballina,Other offences against the person,,138
Richmond-Tweed,Ballina,Theft,Break and enter dwelling,6032
Richmond-Tweed,Ballina,Theft,Break and enter non-dwelling,4542
Richmond-Tweed,Ballina,Theft,Receiving or handling stolen goods,587
Richmond-Tweed,Ballina,Theft,Motor vehicle theft,1730
Richmond-Tweed,Ballina,Theft,Steal from motor vehicle,6075
Richmond-Tweed,Ballina,Theft,Steal from retail store,2245
Richmond-Tweed,Ballina,Theft,Steal from dwelling,4732
Richmond-Tweed,Ballina,Theft,Steal from person,522
Richmond-Tweed,Ballina,Theft,Stock theft,36
Richmond-Tweed,Ballina,Theft,Fraud,3060
Richmond-Tweed,Ballina,Theft,Other theft,5754
Richmond-Tweed,Ballina,Arson,,513
Richmond-Tweed,Ballina,Malicious damage to property,,11209
Richmond-Tweed,Ballina,Drug offences,Possession and/or use of cocaine,6
Richmond-Tweed,Ballina,Drug offences,Possession and/or use of narcotics,30
Richmond-Tweed,Ballina,Drug offences,Possession and/or use of cannabis,1378
Richmond-Tweed,Ballina,Drug offences,Possession and/or use of amphetamines,139
Richmond-Tweed,Ballina,Drug offences,Possession and/or use of ecstasy,27
Richmond-Tweed,Ballina,Drug offences,Possession and/or use of other drugs,55
Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in cocaine",2
Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in narcotics",6
Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in cannabis",83
Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in amphetamines",51
Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in ecstasy",50
Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in other drugs",2
Richmond-Tweed,Ballina,Drug offences,Cultivating cannabis,367
Richmond-Tweed,Ballina,Drug offences,Manufacture drug,6
Richmond-Tweed,Ballina,Drug offences,Importing drugs,3
Richmond-Tweed,Ballina,Drug offences,Other drug offences,314
Richmond-Tweed,Ballina,Prohibited and regulated weapons offences,,728
Richmond-Tweed,Ballina,Disorderly conduct,Trespass,1392
Richmond-Tweed,Ballina,Disorderly conduct,Offensive conduct,796
Richmond-Tweed,Ballina,Disorderly conduct,Offensive language,675
Richmond-Tweed,Ballina,Disorderly conduct,Criminal intent,162
Richmond-Tweed,Ballina,Betting and gaming offences,,32
Richmond-Tweed,Ballina,Liquor offences,,1512
Richmond-Tweed,Ballina,Pornography offences,,15
Richmond-Tweed,Ballina,Prostitution offences,,3
Richmond-Tweed,Ballina,Against justice procedures,Escape custody,20
Richmond-Tweed,Ballina,Against justice procedures,Breach Apprehended Violence Order,1624
Richmond-Tweed,Ballina,Against justice procedures,Breach bail conditions,1180
Richmond-Tweed,Ballina,Against justice procedures,Fail to appear,72
Richmond-Tweed,Ballina,Against justice procedures,Resist or hinder officer,776
Richmond-Tweed,Ballina,Against justice procedures,Other offences against justice procedures,159
Richmond-Tweed,Ballina,Transport regulatory offences,,29
Richmond-Tweed,Ballina,Other offences,,1652
Richmond-Tweed,Byron,Homicide,Murder (a),10
Richmond-Tweed,Byron,Homicide,Attempted murder,6
Richmond-Tweed,Byron,Homicide,"Murder accessory, conspiracy",1
Richmond-Tweed,Byron,Homicide,Manslaughter (a),4
Richmond-Tweed,Byron,Assault,Domestic violence related assault,2149
Richmond-Tweed,Byron,Assault,Non-domestic violence related assault,6239
Richmond-Tweed,Byron,Assault,Assault Police,440
Richmond-Tweed,Byron,Sexual offences,Sexual assault,627
Richmond-Tweed,Byron,Sexual offences,"Indecent assault, act of indecency and other sexual offences",810
Richmond-Tweed,Byron,Abduction and kidnapping,,31
Richmond-Tweed,Byron,Robbery,Robbery without a weapon,182
Richmond-Tweed,Byron,Robbery,Robbery with a firearm,19
Richmond-Tweed,Byron,Robbery,Robbery with a weapon not a firearm,52
Richmond-Tweed,Byron,Blackmail and extortion,,3
Richmond-Tweed,Byron,"Harassment, threatening behaviour and private nuisance",,1865
Richmond-Tweed,Byron,Other offences against the person,,97
Richmond-Tweed,Byron,Theft,Break and enter dwelling,4060
Richmond-Tweed,Byron,Theft,Break and enter non-dwelling,4586
Richmond-Tweed,Byron,Theft,Receiving or handling stolen goods,1136
Richmond-Tweed,Byron,Theft,Motor vehicle theft,1989
Richmond-Tweed,Byron,Theft,Steal from motor vehicle,6837
Richmond-Tweed,Byron,Theft,Steal from retail store,2136
Richmond-Tweed,Byron,Theft,Steal from dwelling,4871
Richmond-Tweed,Byron,Theft,Steal from person,1876
Richmond-Tweed,Byron,Theft,Stock theft,28
Richmond-Tweed,Byron,Theft,Fraud,2372
Richmond-Tweed,Byron,Theft,Other theft,14370
Richmond-Tweed,Byron,Arson,,273
Richmond-Tweed,Byron,Malicious damage to property,,9377
Richmond-Tweed,Byron,Drug offences,Possession and/or use of cocaine,176
Richmond-Tweed,Byron,Drug offences,Possession and/or use of narcotics,221
Richmond-Tweed,Byron,Drug offences,Possession and/or use of cannabis,11103
Richmond-Tweed,Byron,Drug offences,Possession and/or use of amphetamines,673
Richmond-Tweed,Byron,Drug offences,Possession and/or use of ecstasy,1102
Richmond-Tweed,Byron,Drug offences,Possession and/or use of other drugs,555
Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in cocaine",19
Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in narcotics",87
Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in cannabis",200
Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in amphetamines",93
Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in ecstasy",101
Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in other drugs",39
Richmond-Tweed,Byron,Drug offences,Cultivating cannabis,798
Richmond-Tweed,Byron,Drug offences,Manufacture drug,15
Richmond-Tweed,Byron,Drug offences,Importing drugs,5
Richmond-Tweed,Byron,Drug offences,Other drug offences,1096
Richmond-Tweed,Byron,Prohibited and regulated weapons offences,,1107
Richmond-Tweed,Byron,Disorderly conduct,Trespass,2182
Richmond-Tweed,Byron,Disorderly conduct,Offensive conduct,3807
Richmond-Tweed,Byron,Disorderly conduct,Offensive language,1475
Richmond-Tweed,Byron,Disorderly conduct,Criminal intent,109
Richmond-Tweed,Byron,Betting and gaming offences,,9
Richmond-Tweed,Byron,Liquor offences,,6583
Richmond-Tweed,Byron,Pornography offences,,11
Richmond-Tweed,Byron,Prostitution offences,,0
Richmond-Tweed,Byron,Against justice procedures,Escape custody,19
Richmond-Tweed,Byron,Against justice procedures,Breach Apprehended Violence Order,1100
Richmond-Tweed,Byron,Against justice procedures,Breach bail conditions,758
Richmond-Tweed,Byron,Against justice procedures,Fail to appear,175
Richmond-Tweed,Byron,Against justice procedures,Resist or hinder officer,2013
Richmond-Tweed,Byron,Against justice procedures,Other offences against justice procedures,253
Richmond-Tweed,Byron,Transport regulatory offences,,51
Richmond-Tweed,Byron,Other offences,,4918
Richmond-Tweed,Kyogle,Homicide,Murder (a),6
Richmond-Tweed,Kyogle,Homicide,Attempted murder,2
Richmond-Tweed,Kyogle,Homicide,"Murder accessory, conspiracy",1
Richmond-Tweed,Kyogle,Homicide,Manslaughter (a),2
Richmond-Tweed,Kyogle,Assault,Domestic violence related assault,1215
Richmond-Tweed,Kyogle,Assault,Non-domestic violence related assault,1632
Richmond-Tweed,Kyogle,Assault,Assault Police,137
Richmond-Tweed,Kyogle,Sexual offences,Sexual assault,207
Richmond-Tweed,Kyogle,Sexual offences,"Indecent assault, act of indecency and other sexual offences",278
Richmond-Tweed,Kyogle,Abduction and kidnapping,,10
Richmond-Tweed,Kyogle,Robbery,Robbery without a weapon,17
Richmond-Tweed,Kyogle,Robbery,Robbery with a firearm,2
Richmond-Tweed,Kyogle,Robbery,Robbery with a weapon not a firearm,5
Richmond-Tweed,Kyogle,Blackmail and extortion,,0
Richmond-Tweed,Kyogle,"Harassment, threatening behaviour and private nuisance",,1319
Richmond-Tweed,Kyogle,Other offences against the person,,113
Richmond-Tweed,Kyogle,Theft,Break and enter dwelling,1104
Richmond-Tweed,Kyogle,Theft,Break and enter non-dwelling,1330
Richmond-Tweed,Kyogle,Theft,Receiving or handling stolen goods,141
Richmond-Tweed,Kyogle,Theft,Motor vehicle theft,513
Richmond-Tweed,Kyogle,Theft,Steal from motor vehicle,738
Richmond-Tweed,Kyogle,Theft,Steal from retail store,264
Richmond-Tweed,Kyogle,Theft,Steal from dwelling,888
Richmond-Tweed,Kyogle,Theft,Steal from person,34
Richmond-Tweed,Kyogle,Theft,Stock theft,146
Richmond-Tweed,Kyogle,Theft,Fraud,367
Richmond-Tweed,Kyogle,Theft,Other theft,968
Richmond-Tweed,Kyogle,Arson,,307
Richmond-Tweed,Kyogle,Malicious damage to property,,3070
Richmond-Tweed,Kyogle,Drug offences,Possession and/or use of cocaine,0
Richmond-Tweed,Kyogle,Drug offences,Possession and/or use of narcotics,19
Richmond-Tweed,Kyogle,Drug offences,Possession and/or use of cannabis,781
Richmond-Tweed,Kyogle,Drug offences,Possession and/or use of amphetamines,12
Richmond-Tweed,Kyogle,Drug offences,Possession and/or use of ecstasy,7
Richmond-Tweed,Kyogle,Drug offences,Possession and/or use of other drugs,23
Richmond-Tweed,Kyogle,Drug offences,"Dealing, trafficking in cocaine",0
Richmond-Tweed,Kyogle,Drug offences,"Dealing, trafficking in narcotics",1
Richmond-Tweed,Kyogle,Drug offences,"Dealing, trafficking in cannabis",71
Richmond-Tweed,Kyogle,Drug offences,"Dealing, trafficking in amphetamines",4
Richmond-Tweed,Kyogle,Drug offences,"Dealing, trafficking in ecstasy",1
Richmond-Tweed,Kyogle,Drug offences,"Dealing, trafficking in other drugs",2
Richmond-Tweed,Kyogle,Drug offences,Cultivating cannabis,513
Richmond-Tweed,Kyogle,Drug offences,Manufacture drug,2
Richmond-Tweed,Kyogle,Drug offences,Importing drugs,0
Richmond-Tweed,Kyogle,Drug offences,Other drug offences,143
Richmond-Tweed,Kyogle,Prohibited and regulated weapons offences,,480
Richmond-Tweed,Kyogle,Disorderly conduct,Trespass,717
Richmond-Tweed,Kyogle,Disorderly conduct,Offensive conduct,481
Richmond-Tweed,Kyogle,Disorderly conduct,Offensive language,477
Richmond-Tweed,Kyogle,Disorderly conduct,Criminal intent,74
Richmond-Tweed,Kyogle,Betting and gaming offences,,16
Richmond-Tweed,Kyogle,Liquor offences,,636
Richmond-Tweed,Kyogle,Pornography offences,,10
Richmond-Tweed,Kyogle,Prostitution offences,,0
Richmond-Tweed,Kyogle,Against justice procedures,Escape custody,7
Richmond-Tweed,Kyogle,Against justice procedures,Breach Apprehended Violence Order,548
Richmond-Tweed,Kyogle,Against justice procedures,Breach bail conditions,469
Richmond-Tweed,Kyogle,Against justice procedures,Fail to appear,23
Richmond-Tweed,Kyogle,Against justice procedures,Resist or hinder officer,328
Richmond-Tweed,Kyogle,Against justice procedures,Other offences against justice procedures,89
Richmond-Tweed,Kyogle,Transport regulatory offences,,14
Richmond-Tweed,Kyogle,Other offences,,906
Richmond-Tweed,Lismore,Homicide,Murder (a),16
Richmond-Tweed,Lismore,Homicide,Attempted murder,14
Richmond-Tweed,Lismore,Homicide,"Murder accessory, conspiracy",3
Richmond-Tweed,Lismore,Homicide,Manslaughter (a),0
Richmond-Tweed,Lismore,Assault,Domestic violence related assault,4976
Richmond-Tweed,Lismore,Assault,Non-domestic violence related assault,9199
Richmond-Tweed,Lismore,Assault,Assault Police,703
Richmond-Tweed,Lismore,Sexual offences,Sexual assault,1077
Richmond-Tweed,Lismore,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1324
Richmond-Tweed,Lismore,Abduction and kidnapping,,50
Richmond-Tweed,Lismore,Robbery,Robbery without a weapon,463
Richmond-Tweed,Lismore,Robbery,Robbery with a firearm,22
Richmond-Tweed,Lismore,Robbery,Robbery with a weapon not a firearm,162
Richmond-Tweed,Lismore,Blackmail and extortion,,3
Richmond-Tweed,Lismore,"Harassment, threatening behaviour and private nuisance",,4470
Richmond-Tweed,Lismore,Other offences against the person,,283
Richmond-Tweed,Lismore,Theft,Break and enter dwelling,8602
Richmond-Tweed,Lismore,Theft,Break and enter non-dwelling,6127
Richmond-Tweed,Lismore,Theft,Receiving or handling stolen goods,1498
Richmond-Tweed,Lismore,Theft,Motor vehicle theft,3970
Richmond-Tweed,Lismore,Theft,Steal from motor vehicle,7298
Richmond-Tweed,Lismore,Theft,Steal from retail store,5004
Richmond-Tweed,Lismore,Theft,Steal from dwelling,5293
Richmond-Tweed,Lismore,Theft,Steal from person,1101
Richmond-Tweed,Lismore,Theft,Stock theft,90
Richmond-Tweed,Lismore,Theft,Fraud,3721
Richmond-Tweed,Lismore,Theft,Other theft,7129
Richmond-Tweed,Lismore,Arson,,640
Richmond-Tweed,Lismore,Malicious damage to property,,15572
Richmond-Tweed,Lismore,Drug offences,Possession and/or use of cocaine,36
Richmond-Tweed,Lismore,Drug offences,Possession and/or use of narcotics,491
Richmond-Tweed,Lismore,Drug offences,Possession and/or use of cannabis,8595
Richmond-Tweed,Lismore,Drug offences,Possession and/or use of amphetamines,379
Richmond-Tweed,Lismore,Drug offences,Possession and/or use of ecstasy,79
Richmond-Tweed,Lismore,Drug offences,Possession and/or use of other drugs,395
Richmond-Tweed,Lismore,Drug offences,"Dealing, trafficking in cocaine",27
Richmond-Tweed,Lismore,Drug offences,"Dealing, trafficking in narcotics",368
Richmond-Tweed,Lismore,Drug offences,"Dealing, trafficking in cannabis",612
Richmond-Tweed,Lismore,Drug offences,"Dealing, trafficking in amphetamines",174
Richmond-Tweed,Lismore,Drug offences,"Dealing, trafficking in ecstasy",32
Richmond-Tweed,Lismore,Drug offences,"Dealing, trafficking in other drugs",52
Richmond-Tweed,Lismore,Drug offences,Cultivating cannabis,1053
Richmond-Tweed,Lismore,Drug offences,Manufacture drug,11
Richmond-Tweed,Lismore,Drug offences,Importing drugs,1
Richmond-Tweed,Lismore,Drug offences,Other drug offences,1847
Richmond-Tweed,Lismore,Prohibited and regulated weapons offences,,1658
Richmond-Tweed,Lismore,Disorderly conduct,Trespass,1939
Richmond-Tweed,Lismore,Disorderly conduct,Offensive conduct,2887
Richmond-Tweed,Lismore,Disorderly conduct,Offensive language,1941
Richmond-Tweed,Lismore,Disorderly conduct,Criminal intent,405
Richmond-Tweed,Lismore,Betting and gaming offences,,50
Richmond-Tweed,Lismore,Liquor offences,,2530
Richmond-Tweed,Lismore,Pornography offences,,52
Richmond-Tweed,Lismore,Prostitution offences,,1
Richmond-Tweed,Lismore,Against justice procedures,Escape custody,77
Richmond-Tweed,Lismore,Against justice procedures,Breach Apprehended Violence Order,2685
Richmond-Tweed,Lismore,Against justice procedures,Breach bail conditions,3745
Richmond-Tweed,Lismore,Against justice procedures,Fail to appear,244
Richmond-Tweed,Lismore,Against justice procedures,Resist or hinder officer,2051
Richmond-Tweed,Lismore,Against justice procedures,Other offences against justice procedures,481
Richmond-Tweed,Lismore,Transport regulatory offences,,137
Richmond-Tweed,Lismore,Other offences,,3100
Richmond-Tweed,Richmond Valley,Homicide,Murder (a),10
Richmond-Tweed,Richmond Valley,Homicide,Attempted murder,6
Richmond-Tweed,Richmond Valley,Homicide,"Murder accessory, conspiracy",0
Richmond-Tweed,Richmond Valley,Homicide,Manslaughter (a),1
Richmond-Tweed,Richmond Valley,Assault,Domestic violence related assault,3164
Richmond-Tweed,Richmond Valley,Assault,Non-domestic violence related assault,4332
Richmond-Tweed,Richmond Valley,Assault,Assault Police,376
Richmond-Tweed,Richmond Valley,Sexual offences,Sexual assault,594
Richmond-Tweed,Richmond Valley,Sexual offences,"Indecent assault, act of indecency and other sexual offences",706
Richmond-Tweed,Richmond Valley,Abduction and kidnapping,,24
Richmond-Tweed,Richmond Valley,Robbery,Robbery without a weapon,123
Richmond-Tweed,Richmond Valley,Robbery,Robbery with a firearm,14
Richmond-Tweed,Richmond Valley,Robbery,Robbery with a weapon not a firearm,53
Richmond-Tweed,Richmond Valley,Blackmail and extortion,,2
Richmond-Tweed,Richmond Valley,"Harassment, threatening behaviour and private nuisance",,2953
Richmond-Tweed,Richmond Valley,Other offences against the person,,160
Richmond-Tweed,Richmond Valley,Theft,Break and enter dwelling,4537
Richmond-Tweed,Richmond Valley,Theft,Break and enter non-dwelling,3639
Richmond-Tweed,Richmond Valley,Theft,Receiving or handling stolen goods,386
Richmond-Tweed,Richmond Valley,Theft,Motor vehicle theft,1877
Richmond-Tweed,Richmond Valley,Theft,Steal from motor vehicle,4140
Richmond-Tweed,Richmond Valley,Theft,Steal from retail store,1046
Richmond-Tweed,Richmond Valley,Theft,Steal from dwelling,3237
Richmond-Tweed,Richmond Valley,Theft,Steal from person,312
Richmond-Tweed,Richmond Valley,Theft,Stock theft,162
Richmond-Tweed,Richmond Valley,Theft,Fraud,1298
Richmond-Tweed,Richmond Valley,Theft,Other theft,3584
Richmond-Tweed,Richmond Valley,Arson,,531
Richmond-Tweed,Richmond Valley,Malicious damage to property,,9566
Richmond-Tweed,Richmond Valley,Drug offences,Possession and/or use of cocaine,6
Richmond-Tweed,Richmond Valley,Drug offences,Possession and/or use of narcotics,22
Richmond-Tweed,Richmond Valley,Drug offences,Possession and/or use of cannabis,1469
Richmond-Tweed,Richmond Valley,Drug offences,Possession and/or use of amphetamines,90
Richmond-Tweed,Richmond Valley,Drug offences,Possession and/or use of ecstasy,24
Richmond-Tweed,Richmond Valley,Drug offences,Possession and/or use of other drugs,37
Richmond-Tweed,Richmond Valley,Drug offences,"Dealing, trafficking in cocaine",1
Richmond-Tweed,Richmond Valley,Drug offences,"Dealing, trafficking in narcotics",13
Richmond-Tweed,Richmond Valley,Drug offences,"Dealing, trafficking in cannabis",99
Richmond-Tweed,Richmond Valley,Drug offences,"Dealing, trafficking in amphetamines",31
Richmond-Tweed,Richmond Valley,Drug offences,"Dealing, trafficking in ecstasy",11
Richmond-Tweed,Richmond Valley,Drug offences,"Dealing, trafficking in other drugs",10
Richmond-Tweed,Richmond Valley,Drug offences,Cultivating cannabis,470
Richmond-Tweed,Richmond Valley,Drug offences,Manufacture drug,23
Richmond-Tweed,Richmond Valley,Drug offences,Importing drugs,0
Richmond-Tweed,Richmond Valley,Drug offences,Other drug offences,321
Richmond-Tweed,Richmond Valley,Prohibited and regulated weapons offences,,896
Richmond-Tweed,Richmond Valley,Disorderly conduct,Trespass,1478
Richmond-Tweed,Richmond Valley,Disorderly conduct,Offensive conduct,1462
Richmond-Tweed,Richmond Valley,Disorderly conduct,Offensive language,1452
Richmond-Tweed,Richmond Valley,Disorderly conduct,Criminal intent,225
